event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1724360400_94,2024-08-22 21:00:00,2024-08-30 16:00:00,11220,187.5,2024-08-29 09:00:00,5832.69,5100.13,-3096.3,200.0,"300,200",GBPUSD,43.1,2,2,3
evt_1725300000_95,2024-09-02 18:00:00,2024-09-04 17:00:00,2820,268.04,2024-09-04 10:15:00,4575.96,7668.08,-1421.69,300.0,300,EURUSD,39.27,2,1,3
evt_1725472800_96,2024-09-04 18:00:00,2024-09-05 11:45:00,1065,261.31,2024-09-05 11:45:00,4572.2,7375.35,-1727.64,300.0,300,EURUSD,39.33,2,1,3
evt_1725645600_97,2024-09-06 18:00:00,2024-09-06 18:00:00,0,258.84,2024-09-06 18:00:00,4563.8,7249.14,-1885.13,300.0,300,EURUSD,39.39,2,1,3
evt_1725962400_98,2024-09-10 10:00:00,2024-09-10 16:45:00,405,274.93,2024-09-10 15:30:00,4561.02,7963.55,-1229.14,300.0,300,EURUSD,39.25,2,1,3
evt_1726592400_99,2024-09-17 17:00:00,2024-10-03 08:15:00,22515,117.55,2024-09-27 15:45:00,8370.05,1467.4,-4182.72,150.0,"300,200,150",GBPUSD,48.16,3,3,3
evt_1729072800_100,2024-10-16 10:00:00,2024-10-16 22:45:00,765,284.63,2024-10-16 20:15:00,4729.88,8722.18,-897.5,300.0,300,EURUSD,39.55,2,1,3
evt_1729177200_101,2024-10-17 15:00:00,2024-10-18 05:30:00,870,276.98,2024-10-17 17:30:00,4725.23,8347.09,-1295.14,300.0,300,EURUSD,39.46,2,1,3
evt_1729278000_102,2024-10-18 19:00:00,2024-10-21 17:15:00,4215,234.99,2024-10-21 17:15:00,5666.75,7633.19,-1061.47,300.0,300,EURUSD,49.46,3,1,3
evt_1729539000_103,2024-10-21 19:30:00,2024-10-22 08:00:00,750,298.16,2024-10-22 05:45:00,4349.62,8614.96,-1399.9,300.0,300,EURUSD,64.19,3,0,3
evt_1729586700_104,2024-10-22 08:45:00,2024-10-22 08:45:00,0,299.63,2024-10-22 08:45:00,4349.19,8682.29,-1330.93,300.0,300,EURUSD,64.18,3,0,3
evt_1729591200_105,2024-10-22 10:00:00,2024-10-23 09:30:00,1410,223.81,2024-10-23 00:00:00,5654.16,6982.59,-1731.57,300.0,300,EURUSD,49.38,3,1,3
evt_1729676400_106,2024-10-23 09:40:00,2024-10-23 10:00:00,20,272.28,2024-10-23 10:00:00,4655.18,8015.69,-1716.54,300.0,300,EURUSD,59.82,3,1,1
