event_id,worst_threshold_crossed,thresholds_crossed,min_margin_time,pair,open_positions,used_margin,floating_pnl,used_margin_contribution_pct,portfolio_used_margin,portfolio_margin_level
evt_1730862000_208,300.0,300,2024-11-06 03:00:00,GBPUSD,1,2074.4,-76.16,26.76,7751.38,279.55
evt_1730862000_208,300.0,300,2024-11-06 03:00:00,USDCHF,0,0.0,0.0,0.0,7751.38,279.55
evt_1730966400_209,300.0,300,2024-11-07 08:00:00,EURGBP,4,4154.55,-1700.5,58.17,7142.01,299.76
evt_1730966400_209,300.0,300,2024-11-07 08:00:00,EURUSD,0,0.0,0.0,0.0,7142.01,299.76
evt_1730966400_209,300.0,300,2024-11-07 08:00:00,GBPUSD,1,2068.53,-6.4,28.96,7142.01,299.76
evt_1730966400_209,300.0,300,2024-11-07 08:00:00,USDCHF,1,918.93,-40.6,12.87,7142.01,299.76
evt_1731081600_210,300.0,300,2024-11-08 16:45:00,EURGBP,4,4154.6,-1699.5,47.69,8712.03,248.69
evt_1731081600_210,300.0,300,2024-11-08 16:45:00,EURUSD,1,1505.21,9.1,17.28,8712.03,248.69
evt_1731081600_210,300.0,300,2024-11-08 16:45:00,GBPUSD,1,2134.62,14.19,24.5,8712.03,248.69
evt_1731081600_210,300.0,300,2024-11-08 16:45:00,USDCHF,1,917.6,-45.15,10.53,8712.03,248.69
evt_1731506400_211,300.0,300,2024-11-13 14:15:00,EURGBP,4,4168.5,-1421.5,49.29,8456.85,253.38
evt_1731506400_211,300.0,300,2024-11-13 14:15:00,EURUSD,1,1508.98,-81.65,17.84,8456.85,253.38
evt_1731506400_211,300.0,300,2024-11-13 14:15:00,GBPUSD,0,0.0,0.0,0.0,8456.85,253.38
evt_1731506400_211,300.0,300,2024-11-13 14:15:00,USDCHF,3,2779.37,-576.8,32.87,8456.85,253.38
evt_1731517200_212,300.0,300,2024-11-13 17:00:00,EURGBP,4,4159.6,-1599.5,49.25,8445.41,252.93
evt_1731517200_212,300.0,300,2024-11-13 17:00:00,EURUSD,1,1500.49,133.48,17.77,8445.41,252.93
evt_1731517200_212,300.0,300,2024-11-13 17:00:00,GBPUSD,0,0.0,0.0,0.0,8445.41,252.93
evt_1731517200_212,300.0,300,2024-11-13 17:00:00,USDCHF,3,2785.32,-775.25,32.98,8445.41,252.93
evt_1731582900_213,300.0,300,2024-11-14 13:00:00,EURGBP,4,4156.3,-1665.5,59.7,6962.35,295.49
evt_1731582900_213,300.0,300,2024-11-14 13:00:00,EURUSD,0,0.0,0.0,0.0,6962.35,295.49
evt_1731582900_213,300.0,300,2024-11-14 13:00:00,GBPUSD,0,0.0,0.0,0.0,6962.35,295.49
evt_1731582900_213,300.0,300,2024-11-14 13:00:00,USDCHF,3,2806.05,-1466.15,40.3,6962.35,295.49
evt_1731603600_214,200.0,"300,200",2024-11-14 17:00:00,EURGBP,4,4159.8,-1595.5,39.43,10550.78,199.51
evt_1731603600_214,200.0,"300,200",2024-11-14 17:00:00,EURUSD,1,1499.92,70.29,14.22,10550.78,199.51
evt_1731603600_214,200.0,"300,200",2024-11-14 17:00:00,GBPUSD,1,2094.84,17.49,19.85,10550.78,199.51
evt_1731603600_214,200.0,"300,200",2024-11-14 17:00:00,USDCHF,3,2796.22,-1138.55,26.5,10550.78,199.51
evt_1731621600_215,300.0,300,2024-11-14 22:45:00,EURGBP,4,4155.85,-1674.5,59.69,6962.5,296.86
evt_1731621600_215,300.0,300,2024-11-14 22:45:00,EURUSD,0,0.0,0.0,0.0,6962.5,296.86
evt_1731621600_215,300.0,300,2024-11-14 22:45:00,GBPUSD,0,0.0,0.0,0.0,6962.5,296.86
evt_1731621600_215,300.0,300,2024-11-14 22:45:00,USDCHF,3,2806.65,-1486.1,40.31,6962.5,296.86
evt_1731641400_216,300.0,300,2024-11-15 03:45:00,EURGBP,4,4157.85,-1634.5,59.73,6961.63,298.84
evt_1731641400_216,300.0,300,2024-11-15 03:45:00,EURUSD,0,0.0,0.0,0.0,6961.63,298.84
evt_1731641400_216,300.0,300,2024-11-15 03:45:00,GBPUSD,0,0.0,0.0,0.0,6961.63,298.84
evt_1731641400_216,300.0,300,2024-11-15 03:45:00,USDCHF,3,2803.78,-1390.55,40.27,6961.63,298.84
evt_1731645000_217,300.0,300,2024-11-15 04:30:00,EURGBP,4,4158.25,-1626.5,59.74,6960.05,299.98
evt_1731645000_217,300.0,300,2024-11-15 04:30:00,EURUSD,0,0.0,0.0,0.0,6960.05,299.98
evt_1731645000_217,300.0,300,2024-11-15 04:30:00,GBPUSD,0,0.0,0.0,0.0,6960.05,299.98
evt_1731645000_217,300.0,300,2024-11-15 04:30:00,USDCHF,3,2801.8,-1324.4,40.26,6960.05,299.98
evt_1731649500_218,300.0,300,2024-11-15 05:45:00,EURGBP,4,4157.7,-1637.5,59.74,6959.72,299.73
evt_1731649500_218,300.0,300,2024-11-15 05:45:00,EURUSD,0,0.0,0.0,0.0,6959.72,299.73
evt_1731649500_218,300.0,300,2024-11-15 05:45:00,GBPUSD,0,0.0,0.0,0.0,6959.72,299.73
evt_1731649500_218,300.0,300,2024-11-15 05:45:00,USDCHF,3,2802.02,-1331.75,40.26,6959.72,299.73
evt_1731654000_219,300.0,300,2024-11-15 07:00:00,EURGBP,4,4157.75,-1636.5,59.74,6959.52,299.87
